==15956== NVPROF is profiling process 15956, command: ./myocyte 100 1 0
==15956== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15956== Profiling application: ./myocyte 100 1 0
==15956== Profiling result:
==15956== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_per_warp","Instructions per warp",4526.500000,5122.500000,4629.401163
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"warp_execution_efficiency","Warp Execution Efficiency",3.342484%,3.371120%,3.365999%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",3.168619%,3.207843%,3.198742%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_replay_overhead","Instruction Replay Overhead",0.004208,0.007069,0.005142
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_transactions_per_request","Global Load Transactions Per Request",4.018868,4.018868,4.018868
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_transactions","Global Load Transactions",426,426,426
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_transactions","Global Store Transactions",94,94,94
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_read_transactions","L2 Read Transactions",65,2601,1919
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_write_transactions","L2 Write Transactions",107,107,107
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_write_transactions","Device Memory Write Transactions",0,24,10
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"global_hit_rate","Global Hit Rate in unified l1/tex",83.962264%,83.962264%,83.962264%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_requested_throughput","Requested Global Load Throughput",9.248385MB/s,11.003534MB/s,10.646882MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_requested_throughput","Requested Global Store Throughput",8.201398MB/s,9.757852MB/s,9.441571MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_throughput","Global Load Throughput",73.987083MB/s,88.028281MB/s,85.175235MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_throughput","Global Store Throughput",65.611187MB/s,78.062815MB/s,75.532752MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"tex_cache_hit_rate","Unified Cache Hit Rate",44.500000%,44.500000%,44.500000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_read_throughput","Device Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_write_throughput","Device Memory Write Throughput",0.000000B/s,19.857980MB/s,8.035382MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"tex_cache_throughput","Unified Cache Throughput",73.987083MB/s,88.028281MB/s,85.175235MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",11.865852MB/s,14.117743MB/s,13.660157MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",65.611187MB/s,78.062815MB/s,75.532752MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_read_throughput","L2 Throughput (Reads)",45.369438MB/s,2.073620GB/s,1.505963GB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_write_throughput","L2 Throughput (Writes)",74.685075MB/s,88.858736MB/s,85.978775MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"sysmem_write_throughput","System Memory Write Throughput",3.489956MB/s,4.152277MB/s,4.017675MB/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gld_efficiency","Global Memory Load Efficiency",12.500000%,12.500000%,12.500000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"tex_cache_transactions","Unified Cache Transactions",106,106,106
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_dp","Floating Point Operations(Double Precision)",5357,5612,5391
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",952,983,956
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",1984,2066,1995
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",433,497,444
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_sp","Floating Point Operations(Single Precision)",2326,2564,2509
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",527,536,533
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",731,850,824
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",320,339,326
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",213,236,219
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_executed","Instructions Executed",9053,10245,9258
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_issued","Instructions Issued",9100,10293,9306
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"dram_utilization","Device Memory Utilization","Idle (0)","Low (1)","Idle (0)"
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",28.865646%,53.346243%,39.896263%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",36.276162%,55.930474%,46.722485%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_memory_dependency","Issue Stall Reasons (Data Request)",0.293040%,0.545823%,0.413442%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_texture","Issue Stall Reasons (Texture)",0.033350%,0.118326%,0.069986%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_other","Issue Stall Reasons (Other)",5.360354%,8.619781%,7.062454%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",2.699035%,5.673981%,3.714502%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",1.601740%,2.438634%,2.067596%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_fp_32","FP Instructions(Single)",2320,2383,2362
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_fp_64","FP Instructions(Double)",3373,3637,3414
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_integer","Integer Instructions",889,1201,943
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_bit_convert","Bit-Convert Instructions",422,428,425
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_control","Control-Flow Instructions",472,613,496
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_compute_ld_st","Load/Store Instructions",200,200,200
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_misc","Misc Instructions",1563,1955,1635
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"issue_slots","Issue Slots",8661,9762,8850
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"cf_issued","Issued Control-Flow Instructions",465,697,505
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"cf_executed","Executed Control-Flow Instructions",465,697,505
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"ldst_issued","Issued Load/Store Instructions",204,204,204
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"ldst_executed","Executed Load/Store Instructions",204,204,204
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"atomic_transactions","Atomic Transactions",0,0,0
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (0)","kernel(int, float*, float*, float*, float*)",86,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
